	intron	exon
seq163	0.23	0.33
seq164	0.36	0.45
seq165	0.25	0.36
seq166	0.3	0.4
seq167	0.37	0.47
seq168	0.33	0.43
seq169	0.38	0.48
seq170	0.41	0.52
seq171	0.17	0.26
seq172	0.37	0.47
seq173	0.32	0.42
seq174	0.4	0.5
seq175	0.32	0.42
seq176	0.4	0.51
seq177	0.41	0.51
seq178	0.36	0.45
seq179	0.45	0.55
seq180	0.35	0.44
seq181	0.48	0.58
seq182	0.44	0.53
seq183	0.43	0.54
seq184	0.38	0.47
seq185	0.3	0.4
seq186	0.49	0.59
seq187	0.41	0.51
seq188	0.42	0.52
seq189	0.23	0.34
seq190	0.37	0.48
seq191	0.37	0.47
seq192	0.43	0.52
seq193	0.38	0.48
seq194	0.4	0.51
seq195	0.46	0.56
seq196	0.44	0.55
seq197	0.43	0.53
seq198	0.36	0.46
seq199	0.36	0.46
seq200	0.39	0.48
seq201	0.37	0.47
seq202	0.4	0.49
seq203	0.34	0.44
seq204	0.29	0.39
seq205	0.36	0.47
seq206	0.47	0.57
seq207	0.29	0.39
seq208	0.38	0.47
seq209	0.53	0.62
seq210	0.42	0.53
seq211	0.36	0.46
seq212	0.46	0.55
seq213	0.41	0.5
seq214	0.45	0.55
seq215	0.37	0.47
seq216	0.4	0.49
seq217	0.45	0.55
seq218	0.33	0.44
seq219	0.47	0.56
seq220	0.41	0.5
seq221	0.38	0.48
seq222	0.37	0.46
seq223	0.45	0.55
seq224	0.57	0.66
seq225	0.39	0.49
seq226	0.41	0.5
seq227	0.39	0.49
seq228	0.35	0.45
seq229	0.3	0.39
seq230	0.39	0.48
seq231	0.33	0.42
seq232	0.38	0.49
seq233	0.31	0.41
seq234	0.33	0.43
seq235	0.34	0.44
seq236	0.17	0.27
seq237	0.32	0.43
seq238	0.43	0.52
seq239	0.37	0.46
seq240	0.32	0.42
seq241	0.29	0.39
seq242	0.35	0.45
seq243	0.3	0.39
seq244	0.39	0.5
seq245	0.34	0.44
seq246	0.33	0.43
seq247	0.38	0.49
seq248	0.28	0.37
seq249	0.42	0.52
seq250	0.33	0.43
seq251	0.33	0.43
seq252	0.46	0.56
seq253	0.26	0.36
seq254	0.47	0.57
seq255	0.34	0.45
seq256	0.34	0.44
seq257	0.47	0.57
seq258	0.45	0.56
seq259	0.42	0.52
seq260	0.3	0.4
seq261	0.34	0.44
seq262	0.44	0.54
seq263	0.34	0.44
seq264	0.42	0.51
seq265	0.36	0.46
seq266	0.34	0.45
seq267	0.39	0.49
seq268	0.41	0.51
seq269	0.33	0.42
seq270	0.4	0.49
seq271	0.35	0.45
seq272	0.29	0.39
seq273	0.32	0.41
seq274	0.33	0.44
seq275	0.38	0.48
seq276	0.27	0.37
seq277	0.49	0.59
seq278	0.56	0.66
seq279	0.4	0.49
seq280	0.39	0.5
seq281	0.31	0.4
seq282	0.33	0.43
seq283	0.32	0.41
seq284	0.36	0.45
seq285	0.27	0.37
seq286	0.62	0.72
seq287	0.44	0.53
seq288	0.36	0.46
seq289	0.48	0.58
seq290	0.32	0.42
seq291	0.37	0.47
seq292	0.26	0.36
seq293	0.33	0.43
seq294	0.46	0.55
seq295	0.26	0.36
seq296	0.34	0.45
seq297	0.45	0.55
seq298	0.52	0.62
seq299	0.36	0.46
seq300	0.44	0.54
seq301	0.37	0.47
seq302	0.45	0.55
seq303	0.41	0.5
seq304	0.34	0.45
seq305	0.52	0.61
seq306	0.44	0.55
seq307	0.39	0.5
seq308	0.44	0.54
seq309	0.43	0.53
seq310	0.52	0.62
seq311	0.43	0.53
seq312	0.4	0.5
seq313	0.38	0.49
seq314	0.35	0.46
seq315	0.37	0.47
seq316	0.39	0.48
seq317	0.41	0.51
seq318	0.38	0.47
seq319	0.32	0.43
seq320	0.43	0.53
seq321	0.44	0.55
seq322	0.37	0.46
seq323	0.31	0.42
seq324	0.37	0.47
seq325	0.26	0.35
seq326	0.29	0.38
seq327	0.33	0.43
seq328	0.47	0.56
seq329	0.35	0.45
seq330	0.34	0.44
seq331	0.49	0.59
seq332	0.36	0.46
seq333	0.41	0.5
seq334	0.39	0.5
seq335	0.38	0.47
seq336	0.36	0.45
seq337	0.42	0.52
seq338	0.39	0.49
seq339	0.47	0.57
seq340	0.41	0.5
seq341	0.37	0.48
seq342	0.45	0.54
seq343	0.28	0.38
seq344	0.27	0.37
seq345	0.34	0.44
seq346	0.29	0.38
seq347	0.31	0.42
seq348	0.3	0.41
seq349	0.31	0.4
seq350	0.35	0.44
seq351	0.27	0.36
seq352	0.31	0.4
seq353	0.38	0.49
seq354	0.37	0.47
seq355	0.37	0.47
seq356	0.37	0.47
seq357	0.41	0.51
seq358	0.41	0.5
seq359	0.34	0.44
seq360	0.35	0.46
seq361	0.35	0.44
seq362	0.41	0.51
seq363	0.43	0.53
seq364	0.39	0.49
seq365	0.4	0.49
seq366	0.44	0.54
seq367	0.36	0.46
seq368	0.38	0.47
seq369	0.39	0.5
seq370	0.5	0.6
seq371	0.42	0.52
seq372	0.4	0.49
seq373	0.43	0.52
seq374	0.36	0.45
seq375	0.38	0.48
seq376	0.3	0.4
seq377	0.33	0.43
seq378	0.35	0.45
seq379	0.41	0.5
seq380	0.35	0.45
seq381	0.45	0.54
seq382	0.36	0.46
seq383	0.36	0.46
seq384	0.42	0.52
seq385	0.4	0.5
seq386	0.45	0.56
seq387	0.47	0.56
seq388	0.35	0.46
seq389	0.3	0.4
seq390	0.36	0.46
seq391	0.31	0.41
seq392	0.32	0.42
seq393	0.44	0.53
seq394	0.33	0.44
seq395	0.29	0.39
seq396	0.39	0.5
seq397	0.43	0.53
seq398	0.44	0.55
seq399	0.33	0.44
seq400	0.35	0.45
seq401	0.35	0.44
seq402	0.4	0.5
seq403	0.28	0.39
seq404	0.38	0.48
seq405	0.43	0.53
seq406	0.32	0.41
seq407	0.46	0.55
seq408	0.4	0.51
seq409	0.46	0.56
seq410	0.29	0.39
seq411	0.37	0.47
seq412	0.31	0.41
seq413	0.38	0.47
seq414	0.36	0.46
seq415	0.35	0.46
seq416	0.47	0.56
seq417	0.31	0.4
seq418	0.3	0.39
seq419	0.42	0.51
seq420	0.32	0.42
seq421	0.49	0.6
seq422	0.35	0.45
seq423	0.35	0.44
seq424	0.32	0.42
seq425	0.42	0.51
seq426	0.37	0.46
seq427	0.41	0.51
seq428	0.39	0.5
seq429	0.29	0.4
seq430	0.39	0.49
seq431	0.33	0.44
seq432	0.42	0.52
seq433	0.33	0.42
seq434	0.44	0.53
seq435	0.44	0.53
seq436	0.36	0.46
seq437	0.35	0.45
seq438	0.31	0.41
seq439	0.44	0.54
seq440	0.29	0.39
seq441	0.44	0.54
seq442	0.47	0.57
seq443	0.39	0.48
seq444	0.39	0.5
seq445	0.44	0.55
seq446	0.42	0.52
seq447	0.4	0.5
seq448	0.42	0.52
seq449	0.42	0.52
seq450	0.41	0.51
seq451	0.35	0.46
seq452	0.37	0.48
seq453	0.33	0.43
seq454	0.3	0.41
seq455	0.35	0.45
seq456	0.4	0.51
seq457	0.41	0.5
seq458	0.42	0.51
seq459	0.33	0.44
seq460	0.34	0.43
seq461	0.37	0.46
seq462	0.45	0.54
seq463	0.34	0.44
seq464	0.39	0.49
seq465	0.36	0.47
seq466	0.29	0.39
seq467	0.37	0.46
seq468	0.42	0.52
seq469	0.37	0.48
seq470	0.35	0.45
seq471	0.36	0.46
seq472	0.35	0.44
seq473	0.36	0.46
seq474	0.26	0.37
seq475	0.4	0.51
seq476	0.48	0.58
seq477	0.39	0.48
seq478	0.5	0.6
seq479	0.31	0.41
seq480	0.43	0.53
seq481	0.45	0.55
seq482	0.35	0.45
seq483	0.32	0.43
seq484	0.38	0.48
seq485	0.38	0.49
seq486	0.49	0.59
seq487	0.32	0.42
seq488	0.44	0.53
seq489	0.45	0.55
seq490	0.38	0.48
seq491	0.31	0.41
seq492	0.3	0.4
seq493	0.41	0.51
seq494	0.34	0.44
seq495	0.28	0.37
seq496	0.41	0.5
seq497	0.4	0.5
seq498	0.36	0.45
seq499	0.27	0.37
seq500	0.34	0.44
seq501	0.28	0.38
seq502	0.53	0.63
seq503	0.35	0.46
seq504	0.36	0.47
seq505	0.31	0.41
seq506	0.38	0.48
seq507	0.4	0.51
seq508	0.45	0.56
seq509	0.41	0.52
seq510	0.38	0.48
seq511	0.43	0.53
seq512	0.39	0.48
seq513	0.46	0.57
seq514	0.41	0.5
seq515	0.46	0.56
seq516	0.42	0.53
seq517	0.45	0.54
seq518	0.38	0.49
seq519	0.35	0.45
seq520	0.43	0.53
seq521	0.42	0.52
seq522	0.46	0.56
seq523	0.42	0.52
seq524	0.34	0.44
seq525	0.33	0.42
seq526	0.33	0.43
seq527	0.34	0.45
seq528	0.39	0.5
seq529	0.35	0.45
seq530	0.4	0.49
seq531	0.31	0.42
seq532	0.4	0.5
seq533	0.35	0.45
seq534	0.33	0.42
seq535	0.31	0.41
seq536	0.31	0.41
seq537	0.28	0.38
seq538	0.35	0.45
seq539	0.5	0.59
seq540	0.19	0.29
seq541	0.42	0.52
seq542	0.45	0.54
seq543	0.28	0.37
seq544	0.36	0.47
seq545	0.36	0.47
seq546	0.38	0.48
seq547	0.33	0.42
seq548	0.32	0.42
seq549	0.46	0.56
seq550	0.37	0.48
seq551	0.47	0.57
seq552	0.36	0.46
seq553	0.35	0.45
seq554	0.42	0.53
seq555	0.24	0.35
seq556	0.34	0.45
seq557	0.38	0.49
seq558	0.48	0.58
seq559	0.43	0.53
seq560	0.45	0.55
seq561	0.33	0.43
seq562	0.34	0.44
seq563	0.33	0.43
seq564	0.3	0.4
seq565	0.38	0.48
seq566	0.44	0.54
seq567	0.35	0.46
seq568	0.15	0.24
seq569	0.37	0.46
seq570	0.42	0.53
seq571	0.4	0.49
seq572	0.5	0.6
seq573	0.49	0.58
seq574	0.38	0.47
seq575	0.43	0.53
seq576	0.39	0.49
seq577	0.33	0.43
seq578	0.36	0.46
seq579	0.41	0.5
seq580	0.42	0.53
seq581	0.33	0.42
seq582	0.45	0.55
seq583	0.53	0.62
seq584	0.48	0.58
seq585	0.36	0.46
seq586	0.41	0.52
seq587	0.35	0.44
seq588	0.35	0.44
seq589	0.45	0.55
seq590	0.38	0.49
seq591	0.49	0.6
seq592	0.33	0.44
seq593	0.25	0.35
seq594	0.38	0.48
seq595	0.42	0.51
seq596	0.41	0.51
seq597	0.35	0.45
seq598	0.32	0.42
seq599	0.32	0.42
seq600	0.27	0.37
seq601	0.4	0.5
seq602	0.39	0.49
seq603	0.44	0.54
seq604	0.37	0.47
seq605	0.31	0.41
seq606	0.26	0.35
seq607	0.32	0.41
seq608	0.35	0.45
seq609	0.33	0.43
seq610	0.36	0.46
seq611	0.32	0.41
seq612	0.47	0.56
seq613	0.33	0.43
seq614	0.32	0.41
seq615	0.32	0.42
seq616	0.26	0.36
seq617	0.29	0.39
seq618	0.43	0.54
seq619	0.38	0.47
seq620	0.35	0.45
seq621	0.33	0.44
seq622	0.4	0.51
seq623	0.35	0.45
seq624	0.34	0.45
seq625	0.41	0.52
seq626	0.39	0.5
seq627	0.44	0.55
seq628	0.37	0.47
seq629	0.42	0.51
seq630	0.3	0.4
seq631	0.59	0.7
seq632	0.44	0.54
seq633	0.44	0.54
seq634	0.37	0.46
seq635	0.32	0.42
seq636	0.52	0.61
seq637	0.35	0.45
seq638	0.36	0.46
seq639	0.38	0.48
seq640	0.38	0.49
seq641	0.35	0.44
seq642	0.42	0.53
seq643	0.39	0.49
seq644	0.33	0.42
seq645	0.47	0.56
seq646	0.43	0.53
seq647	0.4	0.5
seq648	0.43	0.52
seq649	0.35	0.45
seq650	0.38	0.48
seq651	0.31	0.4
seq652	0.51	0.62
seq653	0.4	0.51
seq654	0.36	0.47
seq655	0.25	0.34
seq656	0.4	0.49
seq657	0.38	0.47
seq658	0.4	0.51
seq659	0.44	0.55
seq660	0.3	0.39
seq661	0.33	0.43
seq662	0.37	0.47
seq663	0.42	0.52
seq664	0.41	0.51
seq665	0.39	0.49
seq666	0.37	0.47
seq667	0.52	0.62
seq668	0.49	0.6
seq669	0.42	0.51
seq670	0.33	0.43
seq671	0.37	0.48
seq672	0.23	0.34
seq673	0.42	0.52
seq674	0.32	0.41
seq675	0.36	0.47
seq676	0.41	0.51
seq677	0.34	0.43
seq678	0.39	0.5
seq679	0.38	0.47
seq680	0.29	0.4
seq681	0.33	0.43
seq682	0.34	0.43
seq683	0.28	0.39
seq684	0.37	0.48
seq685	0.37	0.47
seq686	0.31	0.41
seq687	0.46	0.55
seq688	0.4	0.51
seq689	0.38	0.48
seq690	0.38	0.48
seq691	0.42	0.52
seq692	0.25	0.36
seq693	0.39	0.49
seq694	0.35	0.45
seq695	0.4	0.5
seq696	0.39	0.5
seq697	0.36	0.46
seq698	0.33	0.43
seq699	0.39	0.5
seq700	0.23	0.34
seq701	0.45	0.55
seq702	0.39	0.5
seq703	0.44	0.54
seq704	0.38	0.48
seq705	0.39	0.49
seq706	0.33	0.43
seq707	0.31	0.41
seq708	0.43	0.53
seq709	0.42	0.51
seq710	0.28	0.37
seq711	0.34	0.45
seq712	0.35	0.45
seq713	0.34	0.45
seq714	0.41	0.5
seq715	0.41	0.51
seq716	0.35	0.44
seq717	0.46	0.56
seq718	0.29	0.38
seq719	0.34	0.44
seq720	0.36	0.46
seq721	0.38	0.47
seq722	0.46	0.55
seq723	0.35	0.45
seq724	0.41	0.51
seq725	0.38	0.48
seq726	0.37	0.47
seq727	0.39	0.5
seq728	0.13	0.22
seq729	0.3	0.4
seq730	0.38	0.48
seq731	0.26	0.36
seq732	0.48	0.58
seq733	0.36	0.45
seq734	0.37	0.46
seq735	0.34	0.43
seq736	0.28	0.37
seq737	0.46	0.55
seq738	0.33	0.43
seq739	0.47	0.57
seq740	0.33	0.43
seq741	0.39	0.49
seq742	0.37	0.48
seq743	0.42	0.51
seq744	0.37	0.47
seq745	0.41	0.5
seq746	0.32	0.41
seq747	0.37	0.47
seq748	0.41	0.5
seq749	0.21	0.32
seq750	0.39	0.49
seq751	0.45	0.56
seq752	0.35	0.45
seq753	0.32	0.42
seq754	0.37	0.47
seq755	0.5	0.59
seq756	0.44	0.55
seq757	0.38	0.49
seq758	0.34	0.43
seq759	0.35	0.44
seq760	0.43	0.53
seq761	0.47	0.58
seq762	0.5	0.59
seq763	0.43	0.52
seq764	0.45	0.55
seq765	0.54	0.65
seq766	0.25	0.35
seq767	0.39	0.49
seq768	0.4	0.49
seq769	0.35	0.45
seq770	0.36	0.46
seq771	0.32	0.42
seq772	0.27	0.37
seq773	0.5	0.6
seq774	0.43	0.53
seq775	0.42	0.52
seq776	0.3	0.39
seq777	0.45	0.55
seq778	0.37	0.47
seq779	0.47	0.57
seq780	0.3	0.4
seq781	0.49	0.59
seq782	0.45	0.56
seq783	0.28	0.38
seq784	0.47	0.57
seq785	0.29	0.38
seq786	0.37	0.48
seq787	0.38	0.47
seq788	0.36	0.45
seq789	0.29	0.39
seq790	0.4	0.5
seq791	0.4	0.49
seq792	0.41	0.52
seq793	0.33	0.44
seq794	0.32	0.43
seq795	0.46	0.55
seq796	0.41	0.52
seq797	0.35	0.46
seq798	0.35	0.45
seq799	0.39	0.5
seq800	0.5	0.6
seq801	0.32	0.43
seq802	0.41	0.52
seq803	0.43	0.53
seq804	0.59	0.69
seq805	0.49	0.59
seq806	0.37	0.48
seq807	0.32	0.42
seq808	0.34	0.43
seq809	0.34	0.45
seq810	0.42	0.52
seq811	0.37	0.46
seq812	0.31	0.4
seq813	0.27	0.37
seq814	0.44	0.53
seq815	0.25	0.35
seq816	0.47	0.56
seq817	0.32	0.42
seq818	0.3	0.4
seq819	0.3	0.41
seq820	0.43	0.53
seq821	0.3	0.4
seq822	0.4	0.5
seq823	0.32	0.42
seq824	0.39	0.49
seq825	0.35	0.45
seq826	0.34	0.44
seq827	0.41	0.5
seq828	0.41	0.51
seq829	0.41	0.51
seq830	0.35	0.45
seq831	0.42	0.51
seq832	0.43	0.54
seq833	0.46	0.55
seq834	0.34	0.45
seq835	0.41	0.51
seq836	0.33	0.44
seq837	0.43	0.54
seq838	0.41	0.5
seq839	0.32	0.42
seq840	0.42	0.52
seq841	0.37	0.48
seq842	0.38	0.48
seq843	0.34	0.44
seq844	0.39	0.48
seq845	0.38	0.49
seq846	0.46	0.55
seq847	0.29	0.39
seq848	0.32	0.42
seq849	0.35	0.44
seq850	0.43	0.53
seq851	0.39	0.49
seq852	0.45	0.55
seq853	0.42	0.52
seq854	0.27	0.38
seq855	0.39	0.5
seq856	0.41	0.52
seq857	0.3	0.41
seq858	0.33	0.42
seq859	0.32	0.43
seq860	0.41	0.51
seq861	0.42	0.52
seq862	0.36	0.47
seq863	0.32	0.42
seq864	0.35	0.46
seq865	0.38	0.48
seq866	0.33	0.42
seq867	0.37	0.48
seq868	0.37	0.47
seq869	0.4	0.5
seq870	0.37	0.47
seq871	0.39	0.5
seq872	0.38	0.49
seq873	0.21	0.32
seq874	0.23	0.32
seq875	0.33	0.43
seq876	0.49	0.58
seq877	0.4	0.51
seq878	0.37	0.46
seq879	0.36	0.46
seq880	0.39	0.5
seq881	0.41	0.52
seq882	0.37	0.47
seq883	0.34	0.45
seq884	0.37	0.47
seq885	0.28	0.38
seq886	0.3	0.41
seq887	0.29	0.38
seq888	0.38	0.48
seq889	0.34	0.44
seq890	0.41	0.5
seq891	0.42	0.51
seq892	0.31	0.41
seq893	0.35	0.46
seq894	0.4	0.49
seq895	0.34	0.44
seq896	0.44	0.55
seq897	0.37	0.48
seq898	0.36	0.46
seq899	0.45	0.54
seq900	0.34	0.44
seq901	0.43	0.53
seq902	0.32	0.42
seq903	0.41	0.5
seq904	0.38	0.49
seq905	0.34	0.44
seq906	0.26	0.35
seq907	0.42	0.53
seq908	0.35	0.45
seq909	0.41	0.52
seq910	0.37	0.46
seq911	0.42	0.53
seq912	0.32	0.42
seq913	0.44	0.53
seq914	0.4	0.5
seq915	0.41	0.51
seq916	0.49	0.59
seq917	0.38	0.49
seq918	0.37	0.46
seq919	0.36	0.45
seq920	0.27	0.38
seq921	0.34	0.43
seq922	0.4	0.49
seq923	0.36	0.47
seq924	0.38	0.47
seq925	0.38	0.48
seq926	0.43	0.53
seq927	0.41	0.51
seq928	0.48	0.59
seq929	0.4	0.51
seq930	0.41	0.51
seq931	0.25	0.36
seq932	0.32	0.41
seq933	0.39	0.5
seq934	0.38	0.48
seq935	0.42	0.51
seq936	0.42	0.51
seq937	0.36	0.46
seq938	0.32	0.41
seq939	0.4	0.5
seq940	0.36	0.45
seq941	0.38	0.48
seq942	0.36	0.46
seq943	0.45	0.55
seq944	0.38	0.48
seq945	0.28	0.38
seq946	0.34	0.44
seq947	0.38	0.48
seq948	0.34	0.44
seq949	0.47	0.57
seq950	0.38	0.49
seq951	0.36	0.47
seq952	0.29	0.38
seq953	0.29	0.39
seq954	0.35	0.46
seq955	0.42	0.52
seq956	0.45	0.54
seq957	0.32	0.43
seq958	0.35	0.44
seq959	0.43	0.54
seq960	0.42	0.52
seq961	0.39	0.49
seq962	0.43	0.53
seq963	0.4	0.5
seq964	0.39	0.5
seq965	0.4	0.51
seq966	0.42	0.52
seq967	0.32	0.42
seq968	0.33	0.42
seq969	0.44	0.54
seq970	0.37	0.47
seq971	0.33	0.43
seq972	0.32	0.42
seq973	0.44	0.54
seq974	0.3	0.41
seq975	0.41	0.51
seq976	0.31	0.41
seq977	0.46	0.57
seq978	0.38	0.48
seq979	0.3	0.39
seq980	0.26	0.36
seq981	0.42	0.51
seq982	0.31	0.4
seq983	0.37	0.48
seq984	0.35	0.45
seq985	0.29	0.39
seq986	0.31	0.41
seq987	0.37	0.48
seq988	0.31	0.41
seq989	0.32	0.43
seq990	0.34	0.44
seq991	0.36	0.47
seq992	0.41	0.52
seq993	0.33	0.43
seq994	0.41	0.51
seq995	0.34	0.44
seq996	0.37	0.48
seq997	0.37	0.46
seq998	0.36	0.46
seq999	0.42	0.52
seq1000	0.36	0.47
seq1001	0.41	0.5
seq1002	0.35	0.46
seq1003	0.46	0.56
seq1004	0.36	0.46
seq1005	0.35	0.46
seq1006	0.38	0.48
seq1007	0.51	0.62
seq1008	0.37	0.47
seq1009	0.42	0.52
seq1010	0.3	0.39
seq1011	0.34	0.45
seq1012	0.34	0.45
seq1013	0.48	0.59
seq1014	0.46	0.56
seq1015	0.39	0.5
seq1016	0.43	0.53
seq1017	0.45	0.55
seq1018	0.33	0.43
seq1019	0.28	0.38
seq1020	0.42	0.52
seq1021	0.42	0.51
seq1022	0.36	0.47
seq1023	0.27	0.37
seq1024	0.35	0.45
seq1025	0.4	0.49
seq1026	0.36	0.46
seq1027	0.32	0.42
seq1028	0.42	0.53
seq1029	0.48	0.59
seq1030	0.41	0.5
seq1031	0.37	0.48
seq1032	0.4	0.51
seq1033	0.41	0.51
seq1034	0.45	0.55
seq1035	0.26	0.36
seq1036	0.46	0.55
seq1037	0.36	0.46
seq1038	0.45	0.56
seq1039	0.24	0.34
seq1040	0.4	0.5
seq1041	0.36	0.47
seq1042	0.34	0.43
seq1043	0.36	0.46
seq1044	0.41	0.51
seq1045	0.38	0.48
seq1046	0.38	0.47
seq1047	0.36	0.45
seq1048	0.38	0.48
seq1049	0.31	0.42
seq1050	0.39	0.49
seq1051	0.36	0.47
seq1052	0.43	0.52
seq1053	0.38	0.48
seq1054	0.42	0.52
seq1055	0.33	0.43
seq1056	0.42	0.52
seq1057	0.42	0.53
seq1058	0.33	0.44
seq1059	0.43	0.53
seq1060	0.3	0.39
seq1061	0.45	0.54
seq1062	0.39	0.5
seq1063	0.4	0.5
seq1064	0.36	0.46
seq1065	0.46	0.55
seq1066	0.47	0.58
seq1067	0.43	0.54
seq1068	0.35	0.45
seq1069	0.28	0.38
seq1070	0.35	0.46
seq1071	0.31	0.41
seq1072	0.28	0.37
seq1073	0.35	0.45
seq1074	0.23	0.32
seq1075	0.44	0.53
seq1076	0.52	0.61
seq1077	0.35	0.45
seq1078	0.35	0.44
seq1079	0.35	0.45
seq1080	0.3	0.4
seq1081	0.48	0.59
seq1082	0.42	0.51
seq1083	0.3	0.4
seq1084	0.3	0.4
seq1085	0.27	0.37
seq1086	0.49	0.59
seq1087	0.28	0.38
seq1088	0.31	0.4
seq1089	0.39	0.48
seq1090	0.33	0.43
seq1091	0.42	0.52
seq1092	0.3	0.4
seq1093	0.38	0.48
seq1094	0.32	0.42
seq1095	0.48	0.57
seq1096	0.34	0.45
seq1097	0.45	0.56
seq1098	0.42	0.51
seq1099	0.35	0.45
seq1100	0.32	0.41
seq1101	0.34	0.45
seq1102	0.24	0.34
seq1103	0.32	0.42
seq1104	0.3	0.39
seq1105	0.46	0.57
seq1106	0.36	0.47
seq1107	0.32	0.42
seq1108	0.37	0.47
seq1109	0.34	0.43
seq1110	0.36	0.46
seq1111	0.39	0.5
seq1112	0.35	0.44
seq1113	0.31	0.41
seq1114	0.41	0.5
seq1115	0.48	0.57
seq1116	0.37	0.47
seq1117	0.31	0.4
seq1118	0.42	0.52
seq1119	0.41	0.51
seq1120	0.37	0.47
seq1121	0.34	0.44
seq1122	0.32	0.42
seq1123	0.51	0.61
seq1124	0.4	0.51
seq1125	0.37	0.47
seq1126	0.35	0.45
seq1127	0.33	0.43
seq1128	0.41	0.52
seq1129	0.41	0.51
seq1130	0.42	0.52
seq1131	0.45	0.54
seq1132	0.35	0.46
seq1133	0.45	0.56
seq1134	0.43	0.52
seq1135	0.4	0.49
seq1136	0.37	0.47
seq1137	0.39	0.49
seq1138	0.34	0.43
seq1139	0.32	0.43
seq1140	0.54	0.63
seq1141	0.41	0.5
seq1142	0.46	0.56
seq1143	0.39	0.48
seq1144	0.45	0.54
seq1145	0.34	0.44
seq1146	0.38	0.48
seq1147	0.28	0.37
seq1148	0.42	0.53
seq1149	0.39	0.49
seq1150	0.4	0.5
seq1151	0.44	0.53
seq1152	0.36	0.46
